br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00055750;MSG;HO001ROTOR;HONDA;;Ротор, статор и пластины насоса ГУР HONDA;;4;1 828,00
01-00055128;MSG;HY012ROTOR;"HYUNDAI ; KIA";57115-3F010;Ротор, статор и пластины насоса ГУР HYUNDAI,KIA;;1;1 354,00
01-00055740;MSG;TY035ROTOR;"LEXUS ; TOYOTA";;Ротор, статор и пластины насоса ГУР LEXUS,TOYOTA;;5;1 558,00
01-00029816;MSG;MT016ROTOR;"CITROEN ; MITSUBISHI ; PEUGEOT ; SUZUKI";"MR403235 ; MN103275 ; MR554367 ; 4450A070 ; 4450A068 ; MR448260";Ротор, статор и пластины насоса ГУР MITSUBISHI,SUZUKI;;1;1 493,00
01-00057821;MSG;SU005ROTOR;"MITSUBISHI ; SUBARU";;Ротор, статор и пластины насоса ГУР SUBARU;;3;2 438,00
01-00026166;MSG Rebuilding;TY103R;"CITROEN ; PEUGEOT ; TOYOTA";"4001.33 ; 4001.35 ; 4006.61 ; 45500-0H010 ; 400133 ; 400135 ; 45500-0H030 ; 45500-0H080 ; 45500-0H060";"Рулевая рейка без ГУР восстановленная CITROEN C1 (PM_, PN_) 05-;PEUGEOT 107 05-";"06.93.1500 ; 14-0821 ; 14344 ; 714520821 ; DSR1777L ; SR23194 ; T669-13S ; 1GS6702";2;6 095,00
01-00025099;MSG Rebuilding;FO113R;"FORD ; MAZDA";"1543718 ; 1543719 ; DF71-32-110A ; DF71-32-110B ; 851016428 ; 1753627 ; DF9532960 ; DF9532110A ; DF9532960A ; 1836240 ; 1877055 ; 1745237 ; 1836241 ; 8v51-3200-b299 ; 8v51-3200-cj";Рулевая рейка без ГУР восстановленная FORD FIESTA 10-, MAZDA 2 07-;"52529 ; 851027411 ; SGA779L ; JRM502 ; 1GS4301 ; RUDF71110BM ; RU17237F ; AS3910 ; AS3884 ; JRM503";1;6 637,00
01-00025110;MSG Rebuilding;HY105R;HYUNDAI;"56500-2H000 ; 565002H100";Рулевая рейка без ГУР восстановленная HYUNDAI ELANTRA (CF) 06-08,ELANTRA (HD) 06-08,ELANTRA (XD) 06-;"HY105 ; TS565002H000 ; R0922";1;5 621,00
01-00025716;MSG Rebuilding;HY109R;"HYUNDAI ; KIA";"565002s000 ; 56500-2S001 ; 565003W000 ; 56500a4005";"Рулевая рейка без ГУР восстановленная HYUNDAI ix35 (LM) 10-,TUCSON (JM) 09-10;KIA SPORTAGE (SL) 10-";"HY109 ; 1GS3113 ; 1GS3103";1;6 095,00
01-00025752;MSG Rebuilding;KI104R;KIA;"56500-1Y501 ; 56500-1Y500 ; 565001Y000";Рулевая рейка без ГУР восстановленная KIA PICANTO (TA) 11-;DSR2232L;1;7 111,00
